station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature,RPI_unit,DO(Electrode)_unit,BOD5_unit,SS_unit,NH3-N_unit,pH_unit,temperature_unit
USGS-592514136174000,59.4202276,-136.2963028,GLACIER C NR KLUKWAN AK,,,,,,8.3,3.4,,,,,,std units,deg C
USGS-700646152112000,70.1127611,-152.1888528,UNNAMED C 29 MI WSW OF NUIQSUT AK,,,,,,,,,,,,,,
USGS-700825152071300,70.1404056,-152.120311,UNNAMED C 27 MI WSW OF NUIQSUT AK,,,,,,,,,,,,,,
USGS-701008151561200,70.16888889,-151.9366,UNNAMED C 22 MI W OF NUIQSUT AK,,,,,,,,,,,,,,
USGS-701259151583700,70.2163056,-151.9768139,UNNAMED C 23 MI W OF NUIQSUT AK,,,,,,,,,,,,,,
USGS-701409151162900,70.2358333,-151.2747222,BILLS C NR NUIQSUT AK,,,,,,7.3,19.0,,,,,,std units,deg C
USGS-701641151284400,70.2780556,-151.4788889,BLACKFISH C NR NUIQSUT AK,,,,,,7.2,14.7,,,,,,std units,deg C
USGS-701720151184500,70.28888889,-151.3125,CREA C NR  NUIQSUT AK,,,,,,7.1,13.3,,,,,,std units,deg C
USGS-701808151165100,70.3022222,-151.2808333,OIL C NR NUIQSUT AK,,,,,,7.5,13.3,,,,,,std units,deg C
USGS-02429500,31.54682748,-87.5124908,ALABAMA RIVER AT CLAIBORNE AL,,,,78,0.71,7.4,11.6,,,,%,mg/l,std units,deg C
USGS-02469762,31.7571018,-88.1250095,TOMBIGBEE R BL COFFEEVILLE L&D NEAR COFFEEVILLE,,,,97,0.72,7.3,11.5,,,,%,mg/l,std units,deg C
USGS-07048550,36.05388889,-94.0830556,"West Fork White River east of Fayetteville, AR",,,,,,,,,,,,,,
USGS-07055770,36.00591667,-93.0809167,"Buffalo Rv. near Hasty, AR",,,,,0.26,7.9,17.6,,,,,mg/l,std units,deg C
USGS-07055824,35.9899722,-93.0318889,"Buffalo Rv. DS of Big Creek near Hasty, AR",,,,,0.26,7.9,16.7,,,,,mg/l,std units,deg C
USGS-07055900,35.9901972,-92.763,"Buffalo RIver nr Tyler Bend Access nr St. Joe, AR",,,,,0.25,8.0,16.0,,,,,mg/l,std units,deg C
USGS-07056100,35.9903583,-92.7114806,"Buffalo River near Gilbert, AR",,,,,0.21,8.1,17.1,,,,,mg/l,std units,deg C
USGS-07056700,36.06777778,-92.5775,"Buffalo River near Harriet, AR",,,,,0.17,8.3,1.2,,,,,mg/l,std units,deg C
USGS-07060710,35.99166667,-92.2138889,"North Sylamore Creek near Fifty Six, AR",,,,,,8.2,11.5,,,,,,std units,deg C
USGS-07075270,35.5697222,-92.6219444,"South Fork of Little Red River near Scotland, AR",,,,,0.20,6.8,11.2,,,,,mg/l,std units,deg C
USGS-07194800,36.10305556,-94.3444444,"Illinois River at Savoy, AR",,,,,2.7,7.7,10.3,,,,,mg/l,std units,deg C
USGS-071948095,36.1228083,-94.1625611,"Mud Creek near Johnson, AR",,,,,1.3,7.9,9.2,,,,,mg/l,std units,deg C
USGS-07194933,36.24377778,-94.2391389,"Spring Creek at Hwy 112 nr Springdale, AR",,,,,2.8,7.4,10.1,,,,,mg/l,std units,deg C
USGS-07195000,36.22194444,-94.2883333,"Osage Creek near Elm Springs, AR",,,,,3.8,7.3,8.1,,,,,mg/l,std units,deg C
USGS-07195430,36.1086111,-94.5333333,"Illinois River South of Siloam Springs, AR",,,,,3.0,7.8,9.8,,,,,mg/l,std units,deg C
USGS-07195855,36.2161111,-94.6052778,"Flint Creek near West Siloam Springs, OK",,,,91,3.9,8.7,10.4,,,,%,mg/l,std units,deg C
USGS-07196900,35.88,-94.4863889,"Baron Fork at Dutch Mills, AR",,,,,2.7,8.1,10.1,,,,,mg/l,std units,deg C
USGS-07247000,34.91888889,-94.2994444,"Poteau River at Cauthron, AR",,,,,0.94,7.3,12.3,,,,,mg/l,std units,deg C
USGS-07249400,35.1625,-94.4069444,"James Fork near Hackett, AR",,,,,1.2,7.5,13.1,,,,,mg/l,std units,deg C
USGS-07249985,35.5172222,-94.4641667,"Lee Creek near Short, OK",,,,,,6.9,8.7,,,,,,std units,deg C
USGS-07250550,35.34888889,-94.2983333,"AR River at James W. Trimble L&D nr Van Buren, AR",,,,,1.1,7.7,9.5,,,,,mg/l,std units,deg C
USGS-07257693,35.39305556,-93.2205556,"Huckleberry Creek nr Augsburg, AR",,,,,2.0,5.6,12.3,,,,,mg/l,std units,deg C
USGS-0725769302,35.3888611,-93.1991667,"Unnamed Tributary A near Augsburg, AR",,,,,0.54,6.1,11.5,,,,,mg/l,std units,deg C
USGS-07257694,35.38730556,-93.1951667,"Unnamed Tributary B near Augsburg, AR",,,,,0.85,6.3,11.6,,,,,mg/l,std units,deg C
USGS-0725769402,35.3858333,-93.1858333,"Unnamed Tributary C near Augsburg, AR",,,,,0.83,6.5,11.6,,,,,mg/l,std units,deg C
USGS-07257696,35.3745,-93.1890833,Huckleberry Res @ Out-take Struc nr Russellville,,,,,0.65,5.7,8.2,,,,,mg/l,std units,deg C
USGS-07257698,35.3714722,-93.1882778,Huckleberry Res @ Bldg 2 of T Plt nr Russellville,,,,,0.88,5.7,10.3,,,,,mg/l,std units,deg C
USGS-07263295,34.8761111,-92.7744444,"Maumelle River at Williams Junction, AR",,,,,0.56,5.2,12.7,,,,,mg/l,std units,deg C
USGS-07263296,34.87888889,-92.6855556,"Maumelle River near Wye, AR",,,,,0.62,5.9,13.1,,,,,mg/l,std units,deg C
USGS-072632962,34.8811111,-92.6811111,"Bringle Creek at Martindale, AR",,,,,0.46,5.5,13.6,,,,,mg/l,std units,deg C
USGS-072632966,34.87527778,-92.6538889,"Lake Maumelle at State Hwy 10 near Wye, AR",,,,,0.59,5.1,13.2,,,,,mg/l,std units,deg C
USGS-072632968,34.87388889,-92.6338889,"Lk Maumelle at Mouth of Pigeon Roost Cr nr Wye, AR",,,,,,6.0,14.1,,,,,,std units,deg C
USGS-072632971,34.8897222,-92.6466667,"Yount Creek near Martindale, AR",,,,,0.35,5.4,13.2,,,,,mg/l,std units,deg C
USGS-072632982,34.93,-92.5930556,"Reece Creek at Little Italy, AR",,,,,0.53,5.0,12.3,,,,,mg/l,std units,deg C
USGS-07263620,34.6811111,-92.1513889,"AR River@David D Terry L&D below Little Rock, AR",,,,,1.1,7.4,8.2,,,,,mg/l,std units,deg C
USGS-07362587,34.7975,-92.9338889,"Alum Fork Saline River near Reform, AR",,,,,,5.5,14.1,,,,,,std units,deg C
USGS-330107092432301,33.01912778,-92.7237611,19S16W35DDC1,,,,,,8.7,,,,,,,std units,
USGS-330219092111201,33.03828889,-92.1869528,19S11W25AAA1,,,,,,8.5,,,,,,,std units,
USGS-330555093112801,33.09871667,-93.1913111,19S20W09CBD1,,,,,,8.0,22.4,,,,,,std units,deg C
USGS-331203092290801,33.2010611,-92.4852694,17S13W31BAD1,,,,,,8.7,,,,,,,std units,
USGS-331351092572701,33.2159472,-92.8987611,17S17W30DCD1,,,,,,8.6,,,,,,,std units,
USGS-331358092424301,33.23256667,-92.7134639,17S16W24BDB1,,,,,,8.6,,,,,,,std units,
USGS-331519093115901,33.25548889,-93.2001917,17S20W17CDA1,,,,,,8.1,22.2,,,,,,std units,deg C
USGS-332030091185401,33.3409361,-91.3159528,16S02W04BAC1,,,,,,7.8,21.8,,,,,,std units,deg C
USGS-332131092423001,33.35873459,-92.7084927,16S16W01DBC1,,,,,,8.6,,,,,,,std units,
USGS-332613091255102,33.437075,-91.4309583,14S03W32CDB2,,,,,,6.7,19.5,,,,,,std units,deg C
USGS-333040092240301,33.511125,-92.4009833,14S13W12CCB1,,,,,,8.5,25.2,,,,,,std units,deg C
USGS-333204092280301,33.5351833,-92.4670972,14S13W05BBD1,,,,,,8.5,25.2,,,,,,std units,deg C
USGS-333453092160701,33.58156944,-92.2686806,13S11W17BCD1,,,,,,8.5,24.3,,,,,,std units,deg C
USGS-333649092040601,33.6136361,-92.0684,13S09W06BDC1,,,,,,7.8,28.4,,,,,,std units,deg C
USGS-334137093013401,33.6937208,-93.026277,12S19W13BBC1,,,,,,5.4,18.9,,,,,,std units,deg C
USGS-334543092142201,33.7619472,-92.2398528,11S11W16AAB1,,,,,,7.9,25.6,,,,,,std units,deg C
USGS-334758091595701,33.799425,-91.9992028,10S09W35ACD1,,,,,,7.8,25.0,,,,,,std units,deg C
USGS-335341091152201,33.8961111,-91.2557833,09S02W26AAC1,,,,,,8.9,22.3,,,,,,std units,deg C
USGS-335907091333301,33.98516667,-91.56035,08S05W35ACC1,,,,,,8.4,24.6,,,,,,std units,deg C
USGS-335916092413701,33.98788889,-92.6935722,08S15W36BDA1,,,,,,6.6,29.9,,,,,,std units,deg C
USGS-340444091504201,34.07886944,-91.8452389,07S07W30CDC1,,,,,,8.1,28.7,,,,,,std units,deg C
USGS-341024092354501,34.172775,-92.593775,06S15W26ACA1,,,,,,5.1,20.6,,,,,,std units,deg C
USGS-341341092141401,34.22800556,-92.2369472,06S11W05ACD1,,,,,,6.6,28.1,,,,,,std units,deg C
USGS-341841092332001,34.31180556,-92.5574139,05S14W06DCC1,,,,,,6.0,21.1,,,,,,std units,deg C
USGS-341918091504901,34.3191833,-91.848925,04S08W35BBD1,,,,,,6.9,24.7,,,,,,std units,deg C
USGS-343105092585201,34.51816944,-92.9811667,02S18W31BCA1,,,,,,4.1,18.6,,,,,,std units,deg C
USGS-343132092585401,34.5254722,-92.9815556,02S18W30CCB1,,,,,,4.1,17.6,,,,,,std units,deg C
USGS-343146092584701,34.5293333,-92.9796389,02S18W30BCD1,,,,,,3.8,18.7,,,,,,std units,deg C
USGS-343153092582401,34.5313611,-92.9734722,02S18W30ACB1 PAN,,,,,,4.0,17.1,,,,,,std units,deg C
USGS-343158092585501,34.53277778,-92.9821111,02S18W30BCB1 Thousand Dripping Springs,,,,,,,,,,,,,,
USGS-343221092590101,34.5394361,-92.9837306,02S19W24DDA1,,,,,,7.0,17.8,,,,,,std units,deg C
USGS-343250092585901,34.54713889,-92.9829722,02S19W24AAA1 TNC South,,,,,,6.4,18.9,,,,,,std units,deg C
USGS-343316092584201,34.5543611,-92.9784444,02S18W18CCA1 TNC East,,,,,,5.9,17.4,,,,,,std units,deg C
USGS-343324090544601,34.55675556,-90.9153917,01S02E32DDC1,,,,,,7.6,22.1,,,,,,std units,deg C
USGS-343329092585101,34.55802778,-92.9807778,02S18W18BCC2 JFT,,,,,,4.0,18.9,,,,,,std units,deg C
USGS-343332092584001,34.55902778,-92.9777778,02S18W18BCA1 TNC Powerline,,,,,,3.8,20.1,,,,,,std units,deg C
USGS-343340092584901,34.56127778,-92.9804444,02S18W18BBC1 GRS,,,,,,4.9,17.9,,,,,,std units,deg C
USGS-344652091441901,34.78096944,-91.7404667,02N07W22DBA1,,,,,,7.0,19.8,,,,,,std units,deg C
USGS-345616091150201,34.938,-91.251,04N02W30BAD1,,,,,,7.5,22.1,,,,,,std units,deg C
USGS-345618091150901,34.9381,-91.2542,04N02W30BAC1,,,,,,6.9,19.7,,,,,,std units,deg C
USGS-351229090470601,35.20810556,-90.7849778,07N03E28BAA1,,,,,,7.3,19.5,,,,,,std units,deg C
USGS-351544090334101,35.2605861,-90.5582917,07N05E04ADD1,,,,,,6.8,21.3,,,,,,std units,deg C
USGS-352403090594901,35.40138889,-90.9974306,09N01E16CAC1,,,,,,6.9,19.7,,,,,,std units,deg C
USGS-352930090582501,35.49181667,-90.97365,10N01E15DBB1,,,,,,7.2,19.2,,,,,,std units,deg C
USGS-354929090392201,35.8247,-90.6558306,14N04E22CBD1,,,,,,5.9,18.9,,,,,,std units,deg C
USGS-355438094213401,35.91061944,-94.35955,14N32W10BBB1,,,,,,7.7,21.6,,,,,,std units,deg C
USGS-355809092504801,35.96916667,-92.8466667,"Margaret White Spr White Bluff DS of Woolum, AR",,,,,0.37,7.4,14.3,,,,,mg/l,std units,deg C
USGS-355817092502701,35.97143889,-92.8410111,"Buffalo Rv. DS of Margaret White Spr nr Woolum, AR",,,,,0.21,8.1,16.4,,,,,mg/l,std units,deg C
USGS-355848092484901,35.98013889,-92.8135,BUFFALO MAINSTEM 18 nr. Baker Ford,,,,,0.21,8.0,18.2,,,,,mg/l,std units,deg C
USGS-355920092425001,35.98896348,-92.714054,spring SP-20,,,,,1.1,7.5,14.6,,,,,mg/l,std units,deg C
USGS-355923092460201,35.98975,-92.7672778,Mill Ck above Buff R near Tyler Bend Access,,,,,0.31,8.0,13.7,,,,,mg/l,std units,deg C
USGS-355932092423601,35.9921111,-92.7100194,"Piezometer near Gilbert, AR",,,,,0.59,8.0,19.4,,,,,mg/l,std units,deg C
USGS-360030092410201,36.00836944,-92.6840694,Buffalo River DS of Sand Hole Rd.,,,,,0.18,8.1,17.6,,,,,mg/l,std units,deg C
USGS-360103092382601,36.01744444,-92.6404444,BUFFALO MAINSTEM 13 DS of Rocky Creek,,,,,0.21,8.3,18.6,,,,,mg/l,std units,deg C
USGS-360106092382601,36.0184722,-92.6406389,Rocky Ck above confluence with Buffalo R,,,,,1.1,7.9,15.1,,,,,mg/l,std units,deg C
USGS-360113092351801,36.02025,-92.5884722,Spring Ck above confluence with Buffalo R.,,,,,,8.2,16.7,,,,,,std units,deg C
USGS-360130092403201,36.0250833,-92.6756028,Buffalo River DS of Tomahawk Cr.,,,,,0.20,8.2,17.8,,,,,mg/l,std units,deg C
USGS-360132092352801,36.0255611,-92.5912611,Buffalo River DS of Spring Cr.,,,,,0.26,8.4,19.2,,,,,mg/l,std units,deg C
USGS-360152092350501,36.03125,-92.5847806,Piezometer at Spring Creek,,,,,0.41,7.1,15.3,,,,,mg/l,std units,deg C
USGS-360445092334101,36.07915,-92.5614694,Piezometer at Buffalo Point,,,,,,7.2,19.4,,,,,,std units,deg C
USGS-360447092334401,36.0798833,-92.5624694,Buffalo River at Buffalo Point,,,,,1.3,7.1,16.3,,,,,mg/l,std units,deg C
USGS-360508092331901,36.0855833,-92.55525,Panther Ck above confluence with Buffalo R.,,,,,,7.5,14.1,,,,,,std units,deg C
USGS-360629092330501,36.10806667,-92.5516444,Buffalo River Rush US,,,,,0.20,8.2,17.9,,,,,mg/l,std units,deg C
USGS-362227090112001,36.3741333,-90.1887556,20N08E14BAB2,,,,,,8.0,24.8,,,,,,std units,deg C
USGS-09380000,36.8643333,-111.5878722,"COLORADO RIVER AT LEES FERRY, AZ",,,,64,0.66,7.8,8.8,,,,%,mg/l,std units,deg C
USGS-09400815,35.05494444,-111.4892222,"NEWMAN CANYON ABOVE UPPER LAKE MARY, AZ",,,,24,,,,,,,mg/l,,,
USGS-09402300,36.1952642,-111.7771024,"LITTLE COLORADO RIVER ABV MOUTH NR DESERT VIEW, AZ",,,,,,8.0,15.3,,,,,,std units,deg C
USGS-09403043,36.08081566,-112.2137829,"HERMIT CREEK ABOVE TONTO TRAIL NR GRAND CANYON, AZ",,,,,,8.4,12.6,,,,,,std units,deg C
USGS-09403850,36.39581624,-112.6318566,"KANAB CREEK ABOVE THE MOUTH NEAR SUPAI, AZ",,,,,,8.4,14.4,,,,,,std units,deg C
USGS-09404115,36.30581618,-112.761305,"HAVASU CREEK ABOVE THE MOUTH, NEAR SUPAI, AZ",,,,,,8.0,18.2,,,,,,std units,deg C
USGS-09404208,35.76498839,-113.3682663,"DIAMOND CREEK NEAR PEACH SPRINGS, AZ",,,,,,8.4,27.0,,,,,,std units,deg C
USGS-09426600,34.25501565,-114.0096647,"BILL WILLIAMS RIVER AT MINERAL WASH, NR PLANET, AZ",,,,,0.29,8.1,21.7,,,,,mg/l,std units,deg C
USGS-09426620,34.2612361,-114.0289806,"BILL WILLIAMS RIVER NEAR PARKER, AZ",,,,40,,8.6,18.4,,,,%,,std units,deg C
USGS-09427520,34.29557035,-114.140225,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",,,,8,0.66,8.4,14.1,,,,%,mg/l,std units,deg C
USGS-09429490,32.8849361,-114.468111,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",,,,48,0.17,8.3,12.6,,,,%,mg/l,std units,deg C
USGS-09429497,32.88266667,-114.46775,COLORADO RVR ABV DESILTING RTNS BLW IMPERIAL DAM,,,,92,,,,,,,%,,,
USGS-09429500,32.86758333,-114.472111,"COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA",,,,19,,,,,,,%,,,
USGS-09458500,32.8472877,-109.7159136,"GILA RIVER AT SAFFORD, ARIZ.",,,,61,1.3,8.0,13.2,,,,%,mg/l,std units,deg C
USGS-09470500,31.38010095,-110.1111882,"SAN PEDRO RIVER AT PALOMINAS, AZ.",,,,,,,,,,,,,,
USGS-09470920,31.55444444,-110.14,SAN PEDRO AT LEWIS SPRINGS,,,,,,,,,,,,,,
USGS-09471400,31.70051389,-110.2275778,"BABOCOMARI RIVER NEAR TOMBSTONE, AZ",,,,,,,,,,,,,,
USGS-09471550,31.75144444,-110.2013333,"SAN PEDRO RIVER NEAR TOMBSTONE, AZ",,,,,,,,,,,,,,
USGS-09498400,33.5731068,-110.9012251,"PINAL CREEK AT INSPIRATION DAM, NR GLOBE, AZ.",,,,60,8.0,7.7,13.9,,,,%,mg/l,std units,deg C
USGS-09505800,34.53863606,-111.6940356,"WEST CLEAR CREEK NEAR CAMP VERDE, AZ",,,,,,8.5,7.2,,,,,,std units,deg C
USGS-09520500,32.7608789,-114.4205019,"GILA RIVER NEAR DOME, AZ",,,,94,0.68,7.5,11.1,,,,%,mg/l,std units,deg C
USGS-09522000,32.7186587,-114.7188444,"COLORADO RIVER AT NIB, ABOVE MORELOS DAM, AZ",,,,,0.55,8.0,13.9,,,,,mg/l,std units,deg C
USGS-09522005,32.7122222,-114.7222222,"COLORADO RIVER BELOW COOPER WASTEWAY NEAR YUMA, AZ",,,,,0.20,8.2,11.9,,,,,mg/l,std units,deg C
USGS-09522990,32.88494444,-114.468111,"ALL-AMERICAN CANAL HEADWRKS AT IMPERIAL DAM, CA-AZ",,,,72,,,,,,,%,,,
USGS-09531800,32.7283806,-114.7146776,"MAIN OUTLET DR EXTENSION 2 AB MORELOS DAM, AZ.",,,,,,7.3,14.8,,,,,,std units,deg C
USGS-09534000,32.48758333,-114.7896667,YUMA MAIN DRAIN ABOVE ARIZONA-SONORA BOUNDARY,,,,,0.08,8.3,11.5,,,,,mg/l,std units,deg C
USGS-09534550,32.48694444,-114.7872222,242 LATERAL ABOVE MAIN DRAIN AT AZ-SONORA BOUNDRY,,,,,0.23,8.1,24.2,,,,,mg/l,std units,deg C
USGS-09535900,31.94367567,-113.0201653,"QUITOBAQUITO SPRING NEAR LUKEVILLE, AZ",,,,,2.54,7.4,22.9,,,,,mg/l,std units,deg C
USGS-312621110062601,31.43926579,-110.1078556,"SAN PEDRO RIVER NEAR HEREFORD RD, AZ",,,,,,,,,,,,,,
USGS-315056112424301,31.84895939,-112.7126524,C-18-04 19AAC  UNSURV,,,,,4.42,8.7,28.5,,,,,mg/l,std units,deg C
USGS-315232112475501,31.87562404,-112.7993232,C-18-05 08ACA,,,,,3.81,7.8,28.3,,,,,mg/l,std units,deg C
USGS-315743113050201,31.96200815,-113.0846126,C-17-08 09ADD  UNSURV,,,,,1.6,7.1,30.7,,,,,mg/l,std units,deg C
USGS-320115112573001,32.0208964,-112.9590517,C-16-07 27BAD  UNSURV,,,,,0.04,6.9,25.4,,,,,mg/l,std units,deg C
USGS-320126112532901,32.0239525,-112.8921046,C-16-06 21BAC,,,,,5.46,7.9,11.8,,,,,mg/l,std units,deg C
USGS-324122114173401,32.68946944,-114.2929306,GILA RIVER ABV S-AVE-20E NEAR FORTUNA FOOTHILLS AZ,,,,42,,7.6,11.7,,,,%,,std units,deg C
USGS-324329114430001,32.72485833,-114.7167972,Colorado River at 500 m below MODE II Outfall,,,,,,7.7,13.8,,,,,,std units,deg C
USGS-324343114364901,32.72860833,-114.6136417,Colorado River above Interstate 8 Bridge,,,,,,,13.5,,,,,,,deg C
USGS-324348114425301,32.73000833,-114.7145917,Colorado River at 100 m above MODE II Outfall,,,,,,7.6,14.7,,,,,,std units,deg C
USGS-324423114530301,32.73973077,-114.88433,016S020E50N001S,,,,,,8.0,31.5,,,,,,std units,deg C
USGS-324423114530302,32.73973077,-114.88433,016S020E50N002S,,,,,,7.7,25.1,,,,,,std units,deg C
USGS-324423114530303,32.73973077,-114.88433,016S020E50N003S,,,,,,7.4,26.7,,,,,,std units,deg C
USGS-324636114501501,32.776663,-114.8376806,016S020E14C002S,,,,,,7.5,35.0,,,,,,std units,deg C
USGS-324636114501502,32.776663,-114.8376806,016S020E14C003S,,,,,,7.4,34.4,,,,,,std units,deg C
USGS-324636114501503,32.776663,-114.8376806,016S020E14C004S,,,,,,7.4,33.7,,,,,,std units,deg C
USGS-325338109284100,32.89385278,-109.477975,"GILA RIVER ABOVE BONITA CREEK, AZ",,,,58,1.0,8.0,11.8,,,,%,mg/l,std units,deg C
USGS-330131114364101,33.02527778,-114.6113056,"COLORADO RIVER AT PICACHO STATE PARK, CA",,,,91,,,,,,,%,,,
USGS-333815110474400,33.63741667,-110.7955167,"SALT RIVER AT HORSESHOE BEND, ABV ROOSEVELT LK, AZ",,,,91,7.1,7.8,8.4,,,,%,mg/l,std units,deg C
USGS-334313110490400,33.7202,-110.8178556,"LOWER CHERRY CREEK AT NF-203 RD NEAR GLOBE, AZ",,,,71,0.53,7.8,15.6,,,,%,mg/l,std units,deg C
USGS-334616110406000,33.7711972,-110.6832278,"SALT RIVER AT GLEASON FLAT, NEAR GLOBE, AZ",,,,88,6.5,7.8,8.7,,,,%,mg/l,std units,deg C
USGS-344600112011700,34.76669444,-112.0213056,TAVASCI MARSH OUTFLOW,,,,,,7.8,12.6,,,,,,std units,deg C
USGS-344621112011900,34.7724722,-112.021861,TAVASCI MARSH TZG05,,,,,,7.5,11.1,,,,,,std units,deg C
USGS-344628112011300,34.7743611,-112.0202222,TAVASCI MARSH OPEN WATER,,,,,,7.6,13.0,,,,,,std units,deg C
USGS-344640112012300,34.77777778,-112.0230278,TAVASCI MARSH TZG08,,,,,,7.3,10.1,,,,,,std units,deg C
USGS-344648112012000,34.78,-112.0221667,A-16-03 15CAC1,,,,,,7.2,20.3,,,,,,std units,deg C
USGS-344651112012601,34.78088889,-112.02375,TAVASCI MARSH TZG10,,,,,,7.5,27.3,,,,,,std units,deg C
USGS-354156110413701,35.69889458,-110.6943038,06 114-10.81X03.54,,,,,,7.0,6.8,,,,,,std units,deg C
USGS-354503113252600,35.75082145,-113.4246572,TRAVERTINE CANYON ABV MOUTH AT RM229,,,,,,8.5,20.7,,,,,,std units,deg C
USGS-354522113264800,35.756099,-113.4474358,B-27-11 03     UNSURV,,,,,,8.1,13.2,,,,,,std units,deg C
USGS-355308113182600,35.88554246,-113.3079867,B-29-10 25     UNSURV,,,,,,7.2,19.8,,,,,,std units,deg C
USGS-360230112093401,36.04166667,-112.1594444,A-31-02 27DBA1 [BRIGHT ANGEL WASH],,,,,74,8.1,8.6,,,,,mg/l,std units,deg C
USGS-360259112090600,36.0496583,-112.1516333,SOUTH RIM WASTEWATER TREATMENT PLANT OUTFALL,,,,,,6.7,10.1,,,,,,std units,deg C
USGS-360331112110201,36.0586,-112.184,NADP AZ03,,,,,,,,,,,,,,
USGS-360336112131801,36.0600833,-112.2216944,A-31-02 19BDB1 [SANTA MARIA SPRING],,,,,1.2,8.7,6.3,,,,,mg/l,std units,deg C
USGS-360347112133001,36.0631547,-112.2256275,A-31-02 19BBB1 [HERMIT SPRING],,,,,,7.5,17.9,,,,,,std units,deg C
USGS-360356112103201,36.06557989,-112.176365,A-31-02 16DDC1 [MONUMENT SPRING],,,,,6.6,8.1,18.2,,,,,mg/l,std units,deg C
USGS-360410112055700,36.070875,-112.1016028,A-31-03 17DAA1 [PIPE SPRING],,,,,,7.6,15.2,,,,,,std units,deg C
USGS-360417112130701,36.0706102,-112.2190274,A-31-02 18CAA1 [HAWAII SPRING],,,,,,8.4,23.9,,,,,,std units,deg C
USGS-360418112130301,36.07178056,-112.217611,A-31-02 18CAA2 [UNNAMED SPRING NEAR HAWAII SPRING],,,,,0.32,8.5,10.8,,,,,mg/l,std units,deg C
USGS-360436112074401,36.07661389,-112.1288306,GARDEN CREEK SPRING AT THE GRAND CANYON,,,,,,8.0,22.5,,,,,,std units,deg C
USGS-360439112073901,36.07703056,-112.1289806,A-31-02 13BAA1 [GARDEN SPRING],,,,,0.54,7.3,18.2,,,,,mg/l,std units,deg C
USGS-360439112084601,36.07744444,-112.1459167,A-31-02 14BAA1,,,,,1.2,8.1,10.2,,,,,mg/l,std units,deg C
USGS-360439112094101,36.07682985,-112.1617425,A-31-02 15ABC1  [SALT CREEK SPRING],,,,,,7.6,11.5,,,,,,std units,deg C
USGS-360441112073201,36.07749669,-112.1261137,A-31-02 13ABB1 [PUMPHOUSE SPRING],,,,,,7.5,18.3,,,,,,std units,deg C
USGS-360443112083300,36.0808333,-112.1433333,A-31-02 11DCB1 [HORN EAST ALLUVIUM],,,,,,7.3,18.1,,,,,,std units,deg C
USGS-360449112083701,36.08063889,-112.1435,A-31-02 11DCB2,,,,,0.96,7.6,12.7,,,,,mg/l,std units,deg C
