,station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature,RPI_unit,DO(Electrode)_unit,BOD5_unit,SS_unit,NH3-N_unit,pH_unit,temperature_unit,species1,species2,species3
71,Siangbee Bridge,24.887735,120.98646694444444,Sinfong River,4.50,6.5,5.5,6.5,8.19,7.63,32.4,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Hynobius sonani,Silurus asotus
72,Honmoa Harbor,24.9089675,120.97195361111112,Sinfong River,2.25,7.2,2.5,16.0,1.85,7.64,30.0,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Hynobius sonani,Hynobius formosanus
73,Doochunda Bridge,24.785555,121.17565305555556,Fongshan River,1.00,8.4,1.2,4.0,0.04,7.99,26.6,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Hynobius formosanus,Silurus asotus
74,Sinpooda Bridge,24.82568111111112,121.06568694444444,Fongshan River,1.00,8.0,1.0,3.8,0.04,8.04,27.9,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Hynobius fucus,Hynobius sonani
75,Fongshan River Bridge,24.852576000000003,121.00480194444444,Fongshan River,1.00,8.4,1.8,7.5,0.22,8.02,28.5,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Hynobius formosanus,Silurus asotus
76,Fonggonda Bridge,24.85891666666667,120.94975472222222,Fongshan River,2.00,7.1,1.8,22.5,0.62,7.65,30.2,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Cyprinus carpio,Hynobius formosanus
77,Sansheng Bridge,24.832556944444445,121.0975461111111,Fongshan River,1.00,7.7,2.3,6.2,0.08,7.66,27.9,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Hynobius glacialis,Cyprinus carpio
78,Jhulinda Bridge,24.74768388888889,121.09359611111113,Toucian River,1.00,9.2,<1.0,1.5,0.01,8.55,29.1,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Cyprinus carpio,Hynobius sonani
79,Jhongjhengda Bridge,24.785687972222224,121.0576161111111,Toucian River,1.00,8.4,1.1,6.4,0.03,8.72,29.9,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius formosanus,Hynobius sonani,Silurus asotus
80,Toucian River Bridge,24.822895,120.99701,Toucian River,1.00,9.0,1.2,6.0,0.15,8.51,30.8,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Hynobius fucus,Hynobius formosanus
81,Sichiuda Bridge,24.82509111111111,120.97929611111113,Toucian River,1.00,9.1,1.2,4.8,0.09,7.99,29.3,,mg/L,mg/L,mg/L,mg/L,,℃,Cyprinus carpio,Hynobius sonani,Hynobius formosanus
82,Wanfonda Bridge,24.66806,121.119079,Toucian River,1.00,9.3,<1.0,2.2,0.04,8.62,25.2,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Silurus asotus,Hynobius formosanus
83,Paosan Reservoir water Intake,24.69001861111111,121.103045,Toucian River,1.00,9.0,<1.0,1.9,0.04,8.61,26.1,,mg/L,mg/L,mg/L,mg/L,,℃,Cyprinus carpio,Silurus asotus,Hynobius formosanus
84,Jhudongda Bridge,24.722675,121.10329388888889,Toucian River,1.00,9.7,<1.0,2.8,0.04,8.64,28.4,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Hynobius fucus,Hynobius glacialis
85,Neiwun Suspension Bridge,24.702031972222223,121.1832388888889,Toucian River,1.00,8.7,<1.0,1.5,0.02,8.67,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Hynobius fucus,Cyprinus carpio
86,Zhongzheng Bridge,24.768083333333333,120.98852777777778,Keya River,3.75,6.1,3.8,36.4,1.30,7.92,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,Cyprinus carpio,Silurus asotus,Hynobius sonani
87,Chintsao Lake,24.775652777777776,120.96980555555557,Keya River,2.00,10.4,4.5,31.6,0.47,8.09,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Hynobius sonani,Hynobius formosanus
88,Keya River Bridge,24.796736111111112,120.9588138888889,Keya River,5.75,3.6,7.4,12.4,7.68,7.44,29.5,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius formosanus,Hynobius sonani,Silurus asotus
89,Siangya Bridge,24.80322805555556,120.92535694444445,Keya River,4.25,6.7,4.2,23.9,7.92,7.70,31.1,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Silurus asotus,Hynobius formosanus
90,Sincheng Bridge,24.729906944444444,120.96438111111112,Yangang River,1.50,7.4,2.2,37.0,0.16,7.98,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Hynobius formosanus,Hynobius fucus
91,Jhongai Bridge,24.729975,120.91713397222225,Yangang River,1.00,6.9,2.2,15.2,0.16,7.68,30.6,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Cyprinus carpio,Hynobius glacialis
92,Chenren Bridge,24.740821944444445,120.906295,Yangang River,3.25,7.6,3.2,39.2,1.45,7.80,30.0,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Hynobius sonani,Hynobius formosanus
93,Yongsing Bridge,24.617528,121.00581,Jhonggang River,1.50,8.6,3.5,4.6,0.08,8.15,24.9,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius formosanus,Silurus asotus,Hynobius fucus
94,Sanwanda Bridge,24.66189805555556,120.95911305555556,Jhonggang River,1.00,8.6,<1.0,5.9,0.06,8.03,26.6,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Silurus asotus,Cyprinus carpio
95,Pinanda Bridge,24.675886944444446,120.94921305555556,Jhonggang River,1.00,8.3,<1.0,17.9,0.10,8.12,27.1,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Hynobius fucus,Silurus asotus
96,Dongcin Bridge,24.68055194444445,120.90790694444443,Jhonggang River,1.00,8.5,<1.0,17.2,0.13,8.18,28.0,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Silurus asotus,Hynobius fucus
97,Jhonggang River Bridge,24.666946000000003,120.8817,Jhonggang River,1.50,7.7,<1.0,30.8,0.19,7.77,26.3,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Hynobius fucus,Hynobius formosanus
98,Wufu Bridge,24.66420833333333,120.84228055555556,Jhonggang River,2.25,7.1,<1.0,60.0,0.37,7.93,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Hynobius formosanus,Hynobius sonani
99,Nangang River Bridge,24.65589888888889,120.867851,Jhonggang River,2.00,6.5,3.7,35.2,0.38,7.76,27.0,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Hynobius fucus,Silurus asotus
100,Gueishan Bridge,24.53644,120.81591694444444,Houlong River,2.75,8.3,6.2,20.4,0.06,8.42,27.5,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius formosanus,Hynobius sonani,Hynobius arisanensis
101,Yuqing Bridge,24.56125,120.83944444444444,Houlong River,2.25,8.3,9.5,14.6,0.05,8.36,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius formosanus,Hynobius fucus,Hynobius arisanensis
102,Peishih Bridge,24.594896944444443,120.82556305555556,Houlong River,2.25,8.0,12.8,10.9,0.11,8.29,28.4,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius formosanus,Hynobius fucus,Silurus asotus
103,Houlong River Bridge,24.60874388888889,120.78429797222222,Houlong River,2.25,6.8,5.7,10.2,0.30,8.07,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Hynobius formosanus,Hynobius sonani
104,Guanhai Bridge,24.613958333333336,120.76303888888889,Houlong River,1.00,6.8,<1.0,17.6,0.23,7.96,28.2,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Hynobius formosanus,Cyprinus carpio
105,Jhushenda Bridge,24.44951,120.77784805555557,Sihu River,1.00,7.2,<1.0,3.1,0.05,7.10,26.6,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Hynobius formosanus,Hynobius fucus
106,Tongluo Bridge,24.49419305555556,120.78059888888887,Sihu River,1.00,8.0,<1.0,4.2,0.04,7.69,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius arisanensis,Cyprinus carpio,Hynobius formosanus
107,Longsho Bridge,24.533339,120.74787194444444,Sihu River,1.00,8.4,<1.0,5.8,0.08,8.20,28.6,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Cyprinus carpio,Hynobius sonani
108,Sihhu Bridge,24.56326805555556,120.75260097222224,Sihu River,1.00,8.2,<1.0,10.3,0.07,8.16,29.3,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Hynobius sonani,Hynobius fucus
109,Siangbee Bridge,24.357472222222224,120.94677777777778,Da-an River,1.00,8.5,<1.0,10.5,0.11,8.12,21.0,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius glacialis,Hynobius arisanensis,Silurus asotus
110,Beifan Bridge,24.29436111111111,120.9105277777778,Da-an River,1.00,8.2,<1.0,4.3,0.01,8.25,22.9,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius formosanus,Hynobius arisanensis,Silurus asotus
111,Lanshih Bridge,24.307695,120.817321,Da-an River,1.00,8.0,1.7,7.0,0.01,8.34,26.3,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius arisanensis,Hynobius sonani,Hynobius formosanus
112,Yilida Bridge,24.348666666666663,120.73422222222224,Da-an River,1.00,7.4,<1.0,7.5,0.02,8.44,30.2,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Hynobius sonani,Hynobius formosanus
113,Da-an River Bridge,24.370575,120.64491611111112,Da-an River,3.25,7.5,1.0,115,0.05,8.38,31.8,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius arisanensis,Silurus asotus,Hynobius sonani
114,Da-an River Mouth,24.401416694444443,120.6105972222222,Da-an River,2.25,7.5,<1.0,89.4,0.06,8.21,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius arisanensis,Silurus asotus,Hynobius formosanus
115,Ciechen Bridge,24.308151944444447,120.835937,Da-an River,1.00,8.8,1.7,8.6,0.07,8.04,26.8,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius formosanus,Silurus asotus,Hynobius sonani
116,Wenfon Bridge,24.312466944444445,120.830495,Da-an River,1.00,8.6,1.6,4.5,0.21,8.32,27.5,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius fucus,Hynobius formosanus,Hynobius arisanensis
117,Inbin Bridge,24.34777305555556,121.30815194444445,Dajia River,1.00,8.1,<1.0,<1.0,0.01,8.08,15.3,,mg/L,mg/L,mg/L,mg/L,,℃,Silurus asotus,Cyprinus carpio,Hynobius arisanensis
118,Changcing Bridge,24.17489,120.9746938888889,Dajia River,2.25,8.3,<1.0,79.2,0.02,7.71,22.4,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius arisanensis,Hynobius sonani,Hynobius fucus
119,Longanda Bridge,24.171936111111112,120.83791805555556,Dajia River,1.00,8.2,<1.0,11.1,0.02,7.96,24.8,,mg/L,mg/L,mg/L,mg/L,,℃,Hynobius sonani,Hynobius arisanensis,Hynobius formosanus
